eventIndex,price_median15,price_delta15,bedrooms_delta15,view_delta15,bedsView_delta15,bathrooms_delta15,grade_delta15,bathsGrade_delta15,sqft_living_delta15,sqft_above_delta15,sqft_basement_delta15,sqft_lot_delta15,floors_delta15,waterfront_delta15,condition_delta15,building_age_delta15,interior_age_delta15
15,565000.0,85000.0,1.0,1.0,7.0,0.5,2.0,10.0,740.0,500.0,270.0,834.0,0.5,0.0,0.0,-50.0,-39.0
16,455000.0,-60000.0,-1.0,0.0,-1.0,-0.5,-1.0,-7.0,-660.0,-660.0,0.0,2516.0,0.0,0.0,0.0,1.0,1.0
17,548000.0,-63000.0,2.0,0.0,2.0,-0.5,0.0,-4.0,220.0,510.0,-120.0,436.0,0.0,0.0,1.0,0.0,2.0
18,234000.0,-45000.0,-1.0,0.0,-1.0,-0.75,0.0,-6.0,-400.0,-140.0,0.0,1450.0,0.0,0.0,0.0,31.0,38.0
19,227490.0,2510.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-50.0,-20.0,0.0,899.0,0.0,0.0,1.0,-4.0,-4.0
20,359950.0,25050.0,1.0,0.0,1.0,-0.75,-1.0,-6.0,111.0,-460.0,590.0,3422.0,-1.0,0.0,1.0,55.0,55.0
21,1170000.0,830000.0,-1.0,4.0,11.0,0.25,-1.0,0.0,-190.0,-230.0,200.0,32791.0,-1.0,0.0,-1.0,6.0,10.0
22,305000.0,-20000.0,1.0,0.0,1.0,0.0,0.0,0.0,230.0,289.0,0.0,-455.0,0.0,0.0,0.0,0.0,0.0
23,280000.0,-27300.0,-1.0,0.0,-1.0,-0.75,0.0,-8.0,-891.0,-891.0,0.0,2418.0,-1.0,0.0,0.0,1.0,1.0
24,275000.0,54000.0,0.0,0.0,0.0,0.25,1.0,4.0,610.0,1010.0,0.0,-1375.0,0.5,0.0,1.0,-5.0,-5.0
25,194900.0,38100.0,0.0,0.0,0.0,1.0,0.0,6.0,460.0,620.0,0.0,-1053.0,0.5,0.0,1.0,-11.0,-11.0
26,840000.0,97000.0,0.0,0.0,0.0,-0.25,0.0,0.0,500.0,320.0,320.0,-909.0,0.5,0.0,0.0,-5.0,-4.0
27,735000.0,-68000.0,0.0,0.0,0.0,-1.0,0.0,-9.0,-250.0,-250.0,0.0,-1779.0,-0.5,0.0,2.0,-2.0,-2.0
28,520000.0,-82000.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-20.0,-570.0,30.0,0.0,0.0,0.0,0.0,6.0,6.0
29,750000.0,-31000.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.0,-310.0,0.0,2586.0,0.0,0.0,0.0,4.0,4.0
30,825000.0,-244500.0,-1.0,0.0,-1.0,-1.0,-1.0,-16.0,-1820.0,-710.0,-1060.0,-1960.0,0.0,0.0,0.0,3.0,3.0
31,417500.0,-137500.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-240.0,-180.0,0.0,-6890.0,1.5,0.0,0.0,-57.0,-57.0
32,524950.0,162550.0,1.0,0.0,1.0,0.0,0.0,0.0,870.0,400.0,300.0,0.0,0.5,0.0,1.0,0.0,0.0
33,520000.0,15000.0,0.0,0.0,0.0,-0.5,1.0,-3.0,-390.0,-150.0,-120.0,-1219.0,0.0,0.0,0.0,10.0,15.0
34,287000.0,35500.0,1.0,0.0,1.0,0.75,0.0,6.0,470.0,60.0,780.0,-2766.0,0.0,0.0,0.0,0.0,0.0
35,627000.0,69000.0,0.0,0.0,0.0,0.75,1.0,7.0,450.0,370.0,0.0,-740.0,0.5,0.0,-1.0,-4.0,-76.0
36,468000.0,82000.0,1.0,0.0,1.0,-0.75,-3.0,-10.0,-60.0,-580.0,730.0,27792.0,0.0,0.0,-2.0,44.0,44.0
37,529000.0,111000.0,2.0,0.0,2.0,-0.25,0.0,-2.0,960.0,1210.0,-280.0,2736.0,0.5,0.0,1.0,75.0,79.0
38,254999.0,-14999.0,1.0,0.0,1.0,-0.75,0.0,-6.0,-360.0,-390.0,330.0,340.0,0.0,0.0,-2.0,2.0,2.0
39,600000.0,5000.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-20.0,0.0,0.0,-2047.0,0.0,0.0,0.0,-1.0,-1.0
40,695000.0,-70000.0,1.0,0.0,1.0,0.0,0.0,0.0,80.0,80.0,0.0,-3726.0,0.0,0.0,0.0,1.0,1.0
41,495000.0,280000.0,0.0,0.0,0.0,0.25,0.0,4.0,2140.0,1070.0,1120.0,12952.0,0.0,0.0,-1.0,-30.0,-26.0
42,795000.0,66990.0,1.0,0.0,1.0,0.0,0.0,0.0,75.0,75.0,0.0,203.0,0.0,0.0,0.0,-2.0,-2.0
43,800000.0,-115000.0,0.0,0.0,0.0,-0.75,-1.0,-8.0,-140.0,100.0,-300.0,-1320.0,0.5,0.0,0.0,-8.0,-7.0
44,249000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-240.0,360.0,2096.0,0.0,0.0,0.0,-1.0,-1.0
45,360000.0,128000.0,0.0,0.0,0.0,0.75,1.0,9.0,1330.0,1330.0,0.0,5844.0,0.0,0.0,0.0,-20.0,-20.0
46,225000.0,-14510.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-420.0,-350.0,-300.0,363.0,0.0,0.0,-1.0,1.0,1.0
47,725000.0,60000.0,0.0,0.0,0.0,0.0,1.0,2.0,-160.0,450.0,0.0,1416.0,0.0,0.0,0.0,-1.0,-1.0
48,546000.0,-96000.0,0.0,0.0,0.0,0.25,0.0,3.0,-170.0,230.0,-120.0,863.0,0.0,0.0,1.0,-11.0,-7.0
49,615000.0,735000.0,1.0,1.0,3.0,0.5,1.0,9.0,663.0,170.0,588.0,24363.0,-0.5,1.0,2.0,27.0,37.0
50,230000.0,-2000.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-130.0,-110.0,0.0,517.0,0.0,0.0,0.0,2.0,2.0
51,245000.0,100000.0,2.0,0.0,2.0,1.5,2.0,16.0,1890.0,620.0,1510.0,2234.0,0.0,0.0,0.0,-23.0,-23.0
52,625000.0,-25000.0,0.0,0.0,0.0,-0.25,0.0,-2.0,-150.0,-280.0,10.0,204.0,-0.5,0.0,1.0,-22.0,-22.0
53,437000.0,148000.0,-1.0,0.0,-1.0,-0.5,0.0,-4.0,520.0,-290.0,990.0,3146.0,-1.0,0.0,0.0,-30.0,-30.0
54,1240000.0,-320000.0,1.0,0.0,0.0,-0.25,-1.0,-3.0,-100.0,50.0,230.0,1000.0,0.0,0.0,0.0,0.0,0.0
55,829900.0,55100.0,0.0,0.0,0.0,-0.25,1.0,-4.0,50.0,600.0,-600.0,185.0,0.0,0.0,-1.0,-48.0,-24.0
56,249950.0,42550.0,1.0,0.0,1.0,0.5,0.0,4.0,620.0,750.0,0.0,-4150.0,1.0,0.0,0.0,-32.0,-32.0
57,317750.0,-16750.0,-1.0,0.0,-1.0,0.0,0.0,0.0,20.0,20.0,0.0,-502.0,0.0,0.0,0.0,1.0,1.0
58,660000.0,291000.0,1.0,3.0,16.0,1.0,0.0,9.0,590.0,1620.0,-1000.0,5142.0,1.0,0.0,1.0,-5.0,-5.0
59,470000.0,-40000.0,0.0,0.0,0.0,0.5,0.0,4.0,-800.0,-800.0,0.0,2148.0,0.0,0.0,0.0,15.0,15.0
60,459000.0,191000.0,0.0,3.0,9.0,0.25,0.0,4.0,-150.0,-10.0,560.0,9038.0,0.0,0.0,1.0,-3.0,-3.0
61,295000.0,-6000.0,0.0,0.0,0.0,0.0,0.0,-2.0,-400.0,20.0,0.0,-2140.0,0.0,0.0,-1.0,1.0,1.0
62,495000.0,10000.0,0.0,0.0,-1.0,-0.5,0.0,-4.0,489.0,989.0,-520.0,-2544.0,1.0,0.0,1.0,-18.0,-16.0
63,535000.0,14000.0,0.0,0.0,0.0,-0.25,1.0,0.0,180.0,260.0,-60.0,-2456.0,1.5,0.0,0.0,-93.0,-93.0
64,500000.0,-75000.0,0.0,0.0,0.0,0.25,-1.0,2.0,60.0,-60.0,150.0,2400.0,-0.5,0.0,0.0,-64.0,-16.0
65,427000.0,-109375.0,-1.0,0.0,-1.0,0.75,0.0,6.0,750.0,610.0,340.0,-191.0,0.5,0.0,2.0,25.0,30.0
66,985000.0,-10000.0,0.0,0.0,0.0,0.0,2.0,8.0,120.0,990.0,0.0,2170.0,1.0,0.0,0.0,-30.0,-20.0
67,299950.0,-12950.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,300.0,0.0,-2352.0,0.0,0.0,0.0,-12.0,-12.0
68,235000.0,-31000.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-250.0,-200.0,0.0,3222.0,0.0,0.0,0.0,0.0,0.0
69,1650000.0,-320000.0,1.0,0.0,0.0,-0.25,0.0,-5.0,-360.0,-1290.0,1600.0,6658.0,0.0,0.0,0.0,-10.0,-5.0
70,925000.0,115000.0,1.0,0.0,1.0,0.5,1.0,9.0,1360.0,330.0,1090.0,11682.0,-1.0,0.0,1.0,1.0,5.0
71,463000.0,-138000.0,0.0,0.0,0.0,0.0,0.0,0.0,-650.0,-10.0,-520.0,-1640.0,0.0,0.0,1.0,1.0,1.0
72,399950.0,171050.0,1.0,0.0,1.0,1.0,0.0,8.0,1380.0,1040.0,500.0,2584.0,0.5,0.0,2.0,35.0,35.0
73,355000.0,5000.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
74,339950.0,9050.0,0.0,0.0,0.0,-0.5,-1.0,-9.0,-430.0,-520.0,700.0,36019.0,0.0,0.0,2.0,23.0,23.0
75,745000.0,87500.0,0.0,0.0,0.0,1.5,1.0,16.0,420.0,-520.0,1040.0,16415.0,0.0,0.0,1.0,7.0,7.0
76,447000.0,-67000.0,0.0,0.0,0.0,0.25,0.0,2.0,430.0,-400.0,880.0,-575.0,0.0,0.0,-1.0,1.0,1.0
77,451555.0,28445.0,1.0,0.0,0.0,-0.5,0.0,-4.0,-690.0,-210.0,0.0,-590.0,0.0,0.0,0.0,6.0,6.0
78,359950.0,50050.0,0.0,0.0,0.0,-0.5,0.0,-4.0,170.0,-170.0,500.0,2889.0,-0.5,0.0,1.0,30.0,30.0
79,419900.0,300100.0,0.0,0.0,0.0,0.0,1.0,3.0,630.0,630.0,0.0,33683.0,0.0,0.0,0.0,3.0,3.0
80,399950.0,-9950.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-450.0,-450.0,0.0,-1830.0,0.0,0.0,0.0,1.0,1.0
81,291000.0,69000.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,170.0,0.0,-777.0,0.0,0.0,0.0,1.0,1.0
82,320000.0,35000.0,-1.0,0.0,-1.0,-1.0,0.0,-8.0,360.0,-380.0,900.0,2452.0,0.0,0.0,0.0,23.0,23.0
83,436000.0,-80000.0,0.0,0.0,0.0,-0.25,0.0,-2.0,-480.0,-60.0,0.0,-1420.0,0.0,0.0,0.0,13.0,24.0
84,386500.0,-71500.0,0.0,0.0,0.0,-0.5,-1.0,-5.0,-540.0,-450.0,0.0,-566.0,0.0,0.0,0.0,1.0,1.0
85,1050000.0,-110000.0,0.0,0.0,-1.0,-1.0,1.0,-10.0,-170.0,70.0,-40.0,0.0,0.0,0.0,0.0,-16.0,-5.0
86,235000.0,70000.0,2.0,0.0,2.0,0.5,0.0,4.0,1070.0,1480.0,0.0,-800.0,0.5,0.0,1.0,5.0,5.0
87,518000.0,-57000.0,-1.0,0.0,-1.0,0.75,1.0,10.0,310.0,140.0,790.0,-472.0,1.0,0.0,0.0,-29.0,-13.0
88,450000.0,-235000.0,-2.0,0.0,-2.0,0.0,-1.0,-5.0,-676.0,-190.0,0.0,-5836.0,0.0,0.0,0.0,3.0,3.0
89,430000.0,-95000.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,-560.0,-405.0,265.0,-2784.0,0.5,0.0,0.0,-20.0,-4.0
90,222000.0,21500.0,1.0,0.0,1.0,0.75,0.0,6.0,540.0,940.0,-470.0,58.0,1.0,0.0,-1.0,-7.0,-7.0
91,708000.0,392000.0,2.0,0.0,2.0,1.0,2.0,14.0,1710.0,2250.0,-460.0,953.0,1.0,0.0,1.0,-51.0,-51.0
92,219000.0,-66000.0,0.0,0.0,0.0,-0.5,0.0,-3.0,-180.0,100.0,0.0,1350.0,0.0,0.0,-1.0,1.0,4.0
93,571000.0,-141000.0,0.0,0.0,0.0,0.5,1.0,6.0,230.0,240.0,150.0,635.0,0.0,0.0,0.0,1.0,1.0
94,571000.0,129000.0,0.0,0.0,0.0,0.5,1.0,6.0,230.0,240.0,150.0,635.0,0.0,0.0,0.0,1.0,1.0
95,950000.0,-45000.0,1.0,-1.0,-5.0,0.5,-1.0,2.0,940.0,760.0,240.0,650.0,0.0,0.0,-1.0,14.0,-31.0
96,290000.0,-42500.0,0.0,0.0,0.0,-0.5,-1.0,-6.0,40.0,80.0,0.0,6105.0,-1.0,0.0,0.0,11.0,11.0
97,217000.0,-18000.0,1.0,0.0,1.0,-0.25,0.0,-2.0,-340.0,-60.0,-440.0,-800.0,0.0,0.0,1.0,2.0,2.0
98,470000.0,-156000.0,0.0,0.0,0.0,-0.75,0.0,-6.0,-340.0,-520.0,600.0,-171208.0,0.0,0.0,1.0,-5.0,-5.0
99,590000.0,-152500.0,0.0,2.0,6.0,0.0,0.0,0.0,-390.0,-390.0,0.0,-12811.0,0.0,0.0,0.0,2.0,2.0
100,740000.0,110830.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.0,-540.0,240.0,9241.0,-0.5,0.0,2.0,40.0,40.0
101,546500.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,260.0,-10.0,-157.0,0.0,0.0,1.0,20.0,20.0
102,623000.0,76950.0,-1.0,0.0,-1.0,-0.25,-1.0,-5.0,-600.0,-520.0,0.0,63598.0,0.0,0.0,1.0,4.0,4.0
103,985000.0,105000.0,-1.0,0.0,-1.0,0.0,-1.0,-2.0,440.0,490.0,0.0,-1687.0,0.0,0.0,0.0,30.0,-22.0
104,295000.0,-5000.0,0.0,0.0,0.0,-1.25,0.0,-10.0,-510.0,-460.0,0.0,24679.0,0.0,0.0,0.0,9.0,9.0
105,329950.0,45050.0,0.0,0.0,0.0,0.75,0.0,7.0,470.0,100.0,480.0,1755.0,0.0,0.0,0.0,0.0,0.0
106,537000.0,-77000.0,0.0,0.0,0.0,-0.75,0.0,-8.0,270.0,-30.0,300.0,-103.0,0.0,0.0,0.0,0.0,0.0
107,216500.0,-28000.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,-10.0,0.0,-1406.0,0.0,0.0,0.0,-9.0,-7.0
108,775000.0,-95000.0,1.0,0.0,1.0,0.0,1.0,3.0,-120.0,-120.0,0.0,-11549.0,0.0,0.0,1.0,-6.0,-6.0
109,588000.0,-118000.0,1.0,0.0,1.0,-0.5,-1.0,-6.0,-80.0,420.0,-430.0,3342.0,1.0,0.0,1.0,33.0,33.0
110,575000.0,22750.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,190.0,-420.0,21.0,0.0,0.0,0.0,1.0,1.0
111,547500.0,22500.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-160.0,-650.0,560.0,238.0,-0.5,0.0,1.0,21.0,21.0
112,300000.0,-27500.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-114.0,-494.0,380.0,2700.0,0.0,0.0,1.0,15.0,15.0
113,345000.0,-15050.0,0.0,2.0,6.0,-0.25,0.0,-2.0,450.0,-310.0,890.0,194.0,0.0,0.0,0.0,-17.0,-17.0
114,409000.0,71000.0,0.0,0.0,0.0,0.0,1.0,2.0,580.0,40.0,710.0,3924.0,0.0,0.0,0.0,-3.0,-3.0
115,439000.0,301500.0,0.0,0.0,0.0,1.5,1.0,16.0,3040.0,1580.0,1400.0,1341.0,0.0,0.0,0.0,88.0,99.0
116,565000.0,-46500.0,0.0,0.0,0.0,1.5,1.0,16.0,170.0,170.0,0.0,-1988.0,1.5,0.0,-1.0,-84.0,-84.0
117,260000.0,-54575.0,-1.0,0.0,-1.0,-0.5,-1.0,-4.0,-380.0,-250.0,0.0,-480.0,0.0,0.0,1.0,0.0,3.0
118,215000.0,-43200.0,1.0,0.0,1.0,1.0,0.0,7.0,250.0,290.0,0.0,1500.0,0.0,0.0,0.0,-4.0,-4.0
119,700000.0,-165000.0,1.0,0.0,-1.0,-1.0,-1.0,-10.0,-720.0,-120.0,-600.0,-2018.0,0.0,0.0,1.0,1.0,14.0
120,650000.0,10000.0,-1.0,0.0,-3.0,0.0,0.0,0.0,-150.0,-250.0,170.0,-1206.0,0.0,0.0,0.0,8.0,12.0
121,402200.0,-10700.0,0.0,0.0,0.0,0.25,0.0,2.0,10.0,130.0,0.0,1303.0,0.0,0.0,0.0,-7.0,-7.0
122,408000.0,-13000.0,-1.0,0.0,-1.0,-1.25,-2.0,-13.0,-560.0,-540.0,0.0,3820.0,-2.0,0.0,0.0,53.0,53.0
123,324500.0,120500.0,1.0,0.0,1.0,0.25,0.0,0.0,620.0,240.0,380.0,-400.0,0.0,0.0,2.0,33.0,33.0
124,675000.0,95000.0,-1.0,0.0,-1.0,-0.25,1.0,0.0,500.0,540.0,0.0,1202.0,0.0,0.0,0.0,-2.0,-2.0
125,1570000.0,-120000.0,0.0,0.0,0.0,0.25,-1.0,0.0,-220.0,40.0,770.0,8789.0,-0.5,0.0,-1.0,60.0,-10.0
126,415000.0,30000.0,-1.0,0.0,-6.0,0.5,1.0,4.0,100.0,420.0,-320.0,-645.0,0.0,0.0,0.0,-15.0,-15.0
127,275000.0,-15000.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,-390.0,800.0,-6.0,0.0,0.0,-1.0,0.0,0.0
128,688500.0,134000.0,2.0,0.0,1.0,1.75,0.0,14.0,360.0,240.0,600.0,835.0,0.5,0.0,1.0,-9.0,-8.0
129,435000.0,-5000.0,1.0,0.0,1.0,0.0,0.0,0.0,-160.0,-160.0,0.0,-509.0,0.0,0.0,0.0,0.0,0.0
130,255500.0,-43500.0,0.0,0.0,0.0,-0.25,0.0,-2.0,-840.0,-370.0,0.0,-6155.0,0.0,0.0,0.0,-2.0,-2.0
131,575000.0,85500.0,1.0,0.0,0.0,-0.25,0.0,-3.0,-360.0,-320.0,110.0,-222.0,-0.5,0.0,0.0,-8.0,-8.0
132,840000.0,-56000.0,-1.0,0.0,-1.0,1.0,-1.0,7.0,900.0,-590.0,1490.0,77158.0,-0.5,0.0,0.0,4.0,4.0
133,451000.0,2246.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,620.0,417.0,0.0,0.0,0.0,0.0,0.0
134,500000.0,175000.0,1.0,0.0,1.0,1.5,1.0,19.0,850.0,850.0,0.0,944.0,0.0,0.0,0.0,-4.0,-2.0
135,253500.0,-54500.0,0.0,0.0,0.0,0.0,0.0,0.0,-280.0,-40.0,0.0,6790.0,0.0,0.0,1.0,3.0,11.0
136,229000.0,-9000.0,1.0,0.0,1.0,0.0,0.0,-2.0,660.0,-270.0,1010.0,-1912.0,0.0,0.0,0.0,-3.0,-3.0
137,433000.0,19000.0,1.0,0.0,1.0,0.0,1.0,2.0,620.0,-120.0,650.0,739.0,0.0,0.0,1.0,7.0,10.0
138,450000.0,-67500.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-190.0,20.0,0.0,-2760.0,0.0,0.0,0.0,-32.0,-27.0
139,490000.0,29950.0,1.0,0.0,1.0,0.0,0.0,0.0,-140.0,-140.0,0.0,-61.0,0.0,0.0,0.0,-8.0,-8.0
140,792000.0,-127000.0,-1.0,0.0,-1.0,-0.5,-1.0,-6.0,-570.0,-460.0,0.0,800.0,-1.0,0.0,0.0,-10.0,-10.0
141,610000.0,-82300.0,1.0,0.0,1.0,0.0,0.0,0.0,290.0,-40.0,270.0,-2620.0,0.0,0.0,0.0,0.0,0.0
142,267000.0,-62000.0,-1.0,0.0,-1.0,-0.75,0.0,-6.0,-110.0,-220.0,600.0,879.0,0.0,0.0,0.0,4.0,4.0
143,423000.0,-3000.0,0.0,0.0,0.0,-0.75,0.0,-8.0,-450.0,-308.0,-60.0,1290.0,0.0,0.0,0.0,27.0,27.0
144,500000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,30.0,30.0,-355.0,0.0,0.0,0.0,1.0,1.0
145,800000.0,121500.0,0.0,0.0,0.0,0.0,-1.0,-3.0,640.0,640.0,0.0,278116.0,0.0,0.0,1.0,0.0,0.0
146,725000.0,165000.0,1.0,0.0,1.0,-0.5,0.0,-5.0,820.0,810.0,180.0,0.0,0.5,0.0,0.0,10.0,10.0
147,439900.0,-9900.0,-1.0,0.0,-1.0,0.5,-1.0,2.0,390.0,670.0,0.0,15246.0,1.0,0.0,0.0,-28.0,-26.0
148,239000.0,19000.0,2.0,0.0,2.0,0.5,1.0,6.0,704.0,-260.0,1130.0,4030.0,0.0,0.0,0.0,0.0,0.0
149,635000.0,-124000.0,0.0,0.0,0.0,-1.25,-1.0,-12.0,-230.0,-530.0,250.0,-905.0,-1.0,0.0,0.0,-6.0,-6.0
150,565000.0,-32830.0,0.0,0.0,0.0,0.25,1.0,4.0,-360.0,-10.0,-460.0,-260.0,0.5,0.0,-1.0,-65.0,-64.0
151,460000.0,100000.0,1.0,0.0,1.0,-0.5,-1.0,-6.0,-50.0,-40.0,0.0,3668.0,-1.5,0.0,0.0,52.0,52.0
152,248500.0,34450.0,0.0,0.0,0.0,-0.75,0.0,-4.0,-210.0,-70.0,0.0,-512.0,0.0,0.0,1.0,3.0,8.0
153,1100000.0,1150000.0,0.0,0.0,1.0,0.75,3.0,14.0,2000.0,1480.0,260.0,10100.0,1.0,0.0,-1.0,-30.0,-30.0
154,510000.0,-160000.0,-1.0,0.0,-1.0,-0.5,0.0,-6.0,-610.0,-350.0,-120.0,0.0,0.0,0.0,-1.0,5.0,7.0
155,250000.0,-35000.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,30.0,0.0,109.0,0.0,0.0,0.0,-9.0,-9.0
156,555000.0,95000.0,2.0,0.0,2.0,1.0,1.0,12.0,1590.0,250.0,1460.0,15229.0,0.0,0.0,0.0,-6.0,-6.0
157,264500.0,55500.0,1.0,0.0,1.0,1.0,0.0,9.0,700.0,50.0,1020.0,-1005.0,0.0,0.0,-1.0,3.0,3.0
158,225000.0,22000.0,0.0,0.0,0.0,1.0,1.0,8.0,-130.0,20.0,0.0,-302.0,0.0,0.0,-2.0,9.0,-85.0
159,375000.0,-55000.0,0.0,0.0,0.0,-0.5,0.0,-4.0,-340.0,-90.0,0.0,-1558.0,0.0,0.0,0.0,2.0,2.0
160,255000.0,0.0,2.0,0.0,2.0,1.25,1.0,10.0,660.0,-110.0,1030.0,652.0,0.0,0.0,0.0,-7.0,-7.0
161,405000.0,33000.0,0.0,0.0,0.0,0.25,0.0,2.0,440.0,520.0,0.0,2460.0,0.0,0.0,0.0,10.0,10.0
162,640000.0,260000.0,-1.0,0.0,-1.0,0.0,1.0,3.0,940.0,940.0,0.0,11103.0,0.0,0.0,0.0,-1.0,-1.0
163,442573.0,-1573.0,-1.0,0.0,-1.0,0.25,0.0,2.0,80.0,-180.0,290.0,-808.0,0.0,0.0,0.0,1.0,1.0
164,532000.0,-112000.0,0.0,0.0,0.0,-0.5,-1.0,-7.0,-580.0,-1110.0,450.0,-81458.0,-0.5,0.0,0.0,2.0,2.0
165,455000.0,-85000.0,-1.0,0.0,-1.0,-0.5,0.0,-4.0,-430.0,-260.0,-160.0,-807.0,0.0,0.0,-1.0,0.0,0.0
166,368000.0,-98050.0,-1.0,-3.0,-10.0,-0.75,-2.0,-9.0,-1030.0,-920.0,240.0,-1750.0,0.0,0.0,1.0,22.0,22.0
167,963000.0,-155900.0,0.0,0.0,0.0,-0.25,-1.0,-5.0,-720.0,-600.0,0.0,-3333.0,0.0,0.0,0.0,0.0,0.0
168,835000.0,-182000.0,-1.0,-1.0,-5.0,-0.25,-1.0,-2.0,-140.0,-620.0,890.0,-1080.0,-1.0,0.0,1.0,6.0,6.0
169,355000.0,16500.0,0.0,0.0,0.0,0.25,0.0,2.0,-370.0,80.0,-490.0,35.0,0.0,0.0,1.0,-4.0,-4.0
170,228900.0,55100.0,0.0,0.0,0.0,0.75,1.0,7.0,550.0,550.0,0.0,12225.0,0.0,0.0,0.0,-11.0,-11.0
171,226500.0,45500.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,460.0,170.0,-204.0,0.0,0.0,1.0,-2.0,-2.0
172,359950.0,-46950.0,0.0,0.0,0.0,-0.25,0.0,-2.0,-190.0,-110.0,0.0,-1048.0,0.5,0.0,-1.0,-3.0,0.0
173,980000.0,-62500.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,-610.0,1310.0,6963.0,0.0,0.0,0.0,0.0,0.0
174,807100.0,-134100.0,0.0,0.0,0.0,-0.25,-1.0,-8.0,-690.0,-330.0,0.0,-50.0,0.0,0.0,1.0,19.0,19.0
175,612000.0,-187000.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-520.0,300.0,-1163.0,0.0,0.0,0.0,-26.0,-26.0
